# VW raw DTC -> SAE code + failure type, read off VCDS Auto-Scans in
# research/VCDS-RUS/Scans/. VCDS prints the raw number with the component
# half of the Codes.dat text, then the SAE code with the symptom half.
# raw_dec	raw_hex	sae	ftb	component_text_ru	vin_prefix
297	000129	B1168	F2	Датчик угла поворота рулевого колеса	XW8AD4NE9JH008917
527	00020F	B1065	13	Низкочастотный динамик; задний левый	XW8AD4NE9JH008917
531	000213	B11FF	01	Освещение пространства для ног	XW8AD4NE9JH008917
1637	000665	U11B8	00	Интерфейс для внешних носителей данных	XW8AD4NE9JH008917
5386	00150A	B11EA	15	Лампа переднего правого указателя поворота	XW8AD4NE9JH008917
6922	001B0A	B1218	15	Лампа правой фары ближнего света	XW8AD4NE9JH008917
12289	003001	U1011	00	Напряжение электропитания	XW8AD4NE9JH008917
14751	00399F	P0441	00	Система вентиляции топливного бака	WVWZZZAUZFW063260
15187	003B53	P0850	00	Сигнал блокировки стартера (P/N)	XW8AD4NE9JH008917
16275	003F93	B1168	F2	Датчик угла поворота рулевого колеса	XW8AD4NE9JH008917
17178	00431A	U1123	00	Шина данных	XW8AD4NE9JH008917
22276	005704	U1123	00	Шина данных	WVWZZZAUZFW063260
25548	0063CC	U0401	00	Блок управления двигателя	WVWZZZAUZFW063260
26885	006905	C10D7	00	Ограничение комфорта	XW8AD4NE9JH008917
32807	008027	C10BD	01	Исполнительный электродвигатель; правый	WVWZZZAUZFW063260
32823	008037	C100B	07	Привод стояночного тормоза справа	WVWZZZAUZFW063260
32830	00803E	C10E1	29	Исполнительные электродвигатели	WVWZZZAUZFW063260
65588	010034	B1487	54	Электродвигатель стеклоподъёмника	WVWZZZAUZFW063260
66052	010204	U0065	00	Шина CAN Infotainment	XW8AD4NE9JH008917
66565	010405	U1202	00	Шина данных Диагностика	XW8AD4NE9JH008917
131602	020212	U101D	00	Блок управления усилителя рулевого управления	WVWZZZAUZFW063260
197225	030269	U1109	00	Инвертор с розеткой	XW8AD4NE9JH008917
197644	03040C	B1263	01	Управление отпиранием лючка заливной горловины топливного бака	WVWZZZAUZFW063260
291104	047120	B1455	01	Датчик температуры подогрева рулевого колеса	XW8AD4NE9JH008917
328196	050204	B108D	71	Исп. электродвигатель правой заслонки регулирования температуры	WVWZZZAUZFW063260
589825	090001	U10BA	00	Локальная шина данных	XW8AD4NE9JH008917
1048838	100106	B10CD	00	Ограничение работы системой регулирования энергопотребления	XW8AD4NE9JH008917
1078036	107314	B1073	15	Сигнал удара	XW8AD4NE9JH008917
8521278	82063E	U1411	00	Распознавание подключения АКБ	WVWZZZAUZFW063260
9439771	900A1B	B100A	1B	Пиропатрон боковой подушки безопасности переднего пассажира	XW8AD4NE9JH008917
9440027	900B1B	B100B	1B	Пиропатрон боковой подушки безопасности водителя	XW8AD4NE9JH008917
9457427	904F13	B14A6	13	Динамик аварийного вызова	XW8AD4NE9JH008917
10485833	A00049	B2000	49	Неисправен блок управления	WVWZZZAUZFW063260
12866049	C45201	U1123	00	Шина данных	XW8AD4NE9JH008917
13636608	D01400	U1014	00	Блок управления закодирован неправильно	WVWZZZAUZFW063260
13637120	D01600	U1123	00	Шина данных	WVWZZZAUZFW063260
13637426	D01732	U1123	00	Шина данных	XW8AD4NE9JH008917
16777020	FFFF3C	U1110	00	Ограничение работы из-за нарушения связи	XW8AD4NE9JH008917
